"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores 2-celled or rarely 3-celled, ellipsoid to long-ellipsoid, 36-70 x 13-22 µm,","Gymnosporangium japonicum_149302_37299","teliospores","36-70 x 13-22",53,17.5,NA
"Teliospores ellipsoid or with base slightly tapered, slightly constricted at septum, 33-64(-70) x (17.5-)19-35 µm;","Puccinia helianthi_149664_13277","Teliospores","33-64(-70) x (17.5-)19-35",64,19,NA
"Teliospores cylindrical to clavate, slightly constricted at septum, rounded above, rounded or attenuated below, 40-60 x 18-30 µm;","Puccinia helianthi_149664_13890","Teliospores","40-60 x 18-30",50,24,NA
"Teliospores ellipsoid, ends round, slightly constricted at septum, 25-36 x 14-24 µm;","Puccinia physalidis_149739_13433","Teliospores","25-36 x 14-24",30.5,19,NA
"Teliospores globose to ovoid, 10-20 x 7-18 µm,","Doassansia deformans_228594_33441","Teliospores","10-20 x 7-18",15,12.5,NA
"Teliospores two-celled by transverse septum, ellipsoid, constricted at the septum, 30-44 x 21-30 µm","Puccinia gregaria_329736_56742","Teliospores","30-44 x 21-30",37,25.5,NA
"Teliospores (30-44)45-60(-72) x 17-26(26-33) µm,","Puccinia piptocarphae_329755_56021","Teliospores","(30-44)45-60(-72) x 17-26(26-33)",45,26,NA
"Teliospores clavate, obovoid-clavate or oblong, 27-46 (-52) x 16-22 (-26) µm;","Puccinia oahuensis_149972_14803","Teliospores","27-46 (-52) x 16-22 (-26)",46,22,NA
"Teliospores light chestnut-brown, darker at the apex, elongated, ellipsoid or clavate, apex truncate, subacute to rounded, base attenuate, slightly constricted at the septum, 43-80 x 20-23,5 µm;","Puccinia granularis_150017_14231","Teliospores","43-80 x 20-23,5",61.5,21.75,NA
"Teliospores cylindric, not constricted at the septa, rounded above and usually abruptly mucronate or sometimes +- tapered, apiculus 5-17 µm","Phragmidium tuberculatum_120765_14033","Teliospores","5-17",11,NA,NA
"Teliospores ellipsoid to cylindrical, 3-7-celled; 25-30 x 57-85 µm;","Phragmidium tuberculatum_120765_65547","Teliospores","; 25-30 x 57-85",27.5,71,NA
"Teliospores cylindric, apex round, base round or slightly tapered, 2-6 cells, 35-97 x 21-35 µm;","Phragmidium tormentillae_118757_13694","Teliospores","35-97 x 21-35",66,28,NA
"Teliospores broadly ellipsoid, (30-)35-50 x 21-30(-32) µm,","Puccinia tumidipes_150173_13437","Teliospores","(30-)35-50 x 21-30(-32)",35,30,NA
"Teliospores ellipsoid, ovoid, oblong, 22-30 x 14-18 µm,","Uromyces veratri_143913_56735","Teliospores","22-30 x 14-18",26,16,NA
"Teliospores are intermingled with sterile cells, 9-31 µm","Tilletia buchloëana_229306_25822","Teliospores","9-31",20,NA,NA
"Teliospores ellipsoid, slightly constricted at septum, 27-64 x 18-29 µm,;","Gymnosporangium clavipes_150495_13339","Teliospores","27-64 x 18-29",45.5,23.5,NA
"Teliospores broadly ellipsoid to narrowly clavate, mostly 2-celled, constricted at the septum, the upper cell often broader than the lower, 35-60 x 20-28 µm;","Gymnosporangium clavipes_150495_14858","Teliospores","35-60 x 20-28",47.5,24,NA
"Teliospores (excluding rare 1-celled or teratological spores) 25-54(-58) x 11-17.5 µm,","Puccinia canadensis_150507_13147","Teliospores",") 25-54(-58) x 11-17.5",54,14.25,NA
"Teliospores broadly ellipsoid to cylindric-fusoid, 2-celled, not or slightly constricted, rounded or tapered, 35-60 x 19-30 µm;","Gymnosporangium confusum_117383_14859","Teliospores","35-60 x 19-30",47.5,24.5,NA
"Teliospores ovoid or oblong to ellipsoid, rounded above and below, hardly constricted, 15-24 x 20-35 µm;","Puccinia ribis_118948_49768","Teliospores","15-24 x 20-35",19.5,27.5,NA
"Teliospores unicellular, hyaline to subhyaline, smooth, thin-walled, guttulate, globose to ovoid (15-)17-23(-25) x (13-)15-19 µm;","Endophylloides portoricensis_150620_15337","Teliospores","(15-)17-23(-25) x (13-)15-19",20,15,NA
"Teliospores +- obovate or clavate, usually irregular and subangular, obtuse or truncate above, slightly constricted at septum, 35-50 x 16-26 µm,","Puccinia polysora_150718_13771","Teliospores","35-50 x 16-26",42.5,21,NA
"teliospores described.  ? Diorchidium amazonense P. Syd. & Syd., Monogr. Ured. 4:564-65. 1924.  ? Prospodium amazonense (P. Syd. & Syd.) Cummins, Lloydia 3:70. 1940.  Spermogonia amphigenous in small groups. Aecia and uredinia not produced. Telia mostly hypophyllous, associated with spermogonia along veins, cinnamon brown, pulverulent, without paraphyses; spores (33-)37-44 x (22-)24-27(-28) µm,","Uredo haplophylli_331191_31950","teliospores","(33-)37-44 x (22-)24-27(-28)",37,25.5,NA
"Teliospores (fully cleared) (20-)22-39(-41) µm.","Uromyces phacae-frigidae_145641_13001","Teliospores",") (20-)22-39(-41)",30.5,NA,NA
"Teliospores clavate, round to flattened at the apex constricted at septum, lower cell tapering to base and much narrower and longer than upper cell, 38-80(-97) x 11-23 µm;","Puccinia gigantispora_150816_13577","Teliospores","38-80(-97) x 11-23",80,17,NA
"Teliospores ellipsoid or oblong, 37-47 x 19-23 µm,","Schroeterella stachydis_240995_56731","Teliospores","37-47 x 19-23",42,21,NA
"Teliospores elongated to obovoid or cylindrical to clavate, 37-44(-47) x 13-16(-21) µm","Puccinia praegracilis_151201_39500","Teliospores","37-44(-47) x 13-16(-21)",44,16,NA
"Teliospores in catenulate chains, ovoid, 20-30 long, 12-15 µm","Phakopsora ampelopsidis_230313_13998","Teliospores","12-15",13.5,NA,NA
"Teliospores ellipsoid to cylindric, obtuse or umbonate above, slightly constricted at the septum, 30-50 x 20-26 µm;","Puccinia apii_119019_14252","Teliospores","30-50 x 20-26",40,23,NA
