"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"brown.Teliospores broadly to narrowly ellipsoid, 2-celled, rounded or tapered, slightly constricted, 32-45 x 15-24 µm;","Gymnosporangium yamadae_172436_14865","brown.Teliospores","32-45 x 15-24",38.5,19.5,NA
"teliospores 2-celled, ellipsoid or obovoid, 31-56 x 15-28 µm,","Gymnosporangium yamadae_172436_37307","teliospores","31-56 x 15-28",43.5,21.5,NA
"subepidermal.Teliospores 1-celled, in short chains of (1-) 2 (-3) spores, cylindrical, +- truncate above and below, 22-34 x 12-18 µm;","Angiopsora zeae_172450_13772","subepidermal.Teliospores","22-34 x 12-18",28,15,NA
"teliospores 1-celled, laterally free, clavate to cylindrical, sessile and grouped on sporogenous basal cells, 70-140 x 12-20 µm,","Chaconia ingae_148463_17597","teliospores","70-140 x 12-20",105,16,NA
"Teliospores in crusts of laterally adherent spores, 5-8 spores in depth, 70-110 x 10-13 µm,","Phakopsora gossypii_203156_13997","Teliospores","70-110 x 10-13",90,11.5,NA
"subepidermal.Teliospores 1-celled, in short chains of (1-) 2 (-3) spores, cylindrical, +- truncate above and below, 22-34 x 12-18 µm;","Physopella zeae_172451_13772","subepidermal.Teliospores","22-34 x 12-18",28,15,NA
"Teliospores in catenulate chains, ovoid, 20-30 long, 12-15 µm","Angiopsora ampelopsidis_230314_13998","Teliospores","12-15",13.5,NA,NA
"Teliospores narrowly ellipsoid, not constricted at septum, 45-85 x 14-22 µm;","Tremella clavariaeformis_423912_13338","Teliospores","45-85 x 14-22",65,18,NA
"Teliospores cylindric-fusoid, sometimes shorter and more ellipsoid, 2-celled, rounded, 45-100 x 12-20 µm;","Tremella clavariaeformis_423912_14857","Teliospores","45-100 x 12-20",72.5,16,NA
"teliospores 2-celled, narrowly fusiform, 38-99 x 13-23 µm,","Tremella clavariaeformis_423912_37297","teliospores","38-99 x 13-23",68.5,18,NA
"Teliospores 14-56 x 5-12 µm,","Melampsora kiusiana_263200_60401","Teliospores","14-56 x 5-12",35,8.5,NA
"Teliospores variable in shape, round to ovate or angular, 18-30 x 18-24 µm,","Uromyces ciceris-arientini_424122_14003","Teliospores","18-30 x 18-24",24,21,NA
"teliospores (25,5 x 20-30 µm)","Uromyces ciceris-arientini_424122_14003","teliospores","(25,5 x 20-30",25.5,25,NA
"Teliospores deep red-brown, 22-34(-38) x 17-24 µm;","Uromyces polygoni-aviculariae_424131_13704","Teliospores","22-34(-38) x 17-24",34,20.5,NA
"Teliospores subglobose, ovate or ellipsoid, 18-24 x 22-31(-35) µm;","Uromyces polygoni-aviculariae_424131_49765","Teliospores","18-24 x 22-31(-35)",21,31,NA
"teliospores oblong-ellipsoid or broadly ellipsoid, only slightly constricted at septum, (30-) 35-43 (-46) x (20-) 22-28 (-30) µm,","Prospodium elegans_237295_17601","teliospores","(30-) 35-43 (-46) x (20-) 22-28 (-30)",39,25,NA
"Teliospores clavate, obtuse above, slightly constricted at the septum, 36-55 x 18-24 µm;","Puccinia erianthi_174387_13776","Teliospores","36-55 x 18-24",45.5,21,NA
"Teliospores in uredinia, spores (65-) 70-95 (-100) µm","Ravenelia spegazziniana_174473_17609","Teliospores","(65-) 70-95 (-100)",82.5,NA,NA
"teliospores four-celled square, constricted at the septa, 27-36.2-42(45) µm","Sphaerophragmium artabotrydis_174632_41896","teliospores","27-36.2-42(45)",39.1,NA,NA
"Teliospores (3)4(5)-celled; 38-41.8-47 µm","Sphaerophragmium artabotrydis_174632_41896","Teliospores","; 38-41.8-47",41.8,NA,NA
"teliospores (2)4-8-celled, irregularly subglobose to oblong, constricted at the septa, (27)30-36.9-45(52) µm","Sphaerophragmium boanense_264716_41898","teliospores","(27)30-36.9-45(52)",36.9,NA,NA
"Teliospores clavate, sessile, in clusters on basal cells, 22-51 x 4-11 µm;","Chaconia tectonae_175349_14337","Teliospores","22-51 x 4-11",36.5,7.5,NA
"Teliospores broadly ellipsoid, rounded at both ends conspicuously constricted at septum, 22-42(-44) x 18-30 µm;","Cumminsiella mirabilissima_120737_13673","Teliospores","22-42(-44) x 18-30",42,24,NA
"teliospores and few uredospores. Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Cumminsiella mirabilissima_120737_14077","teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Cumminsiella mirabilissima_120737_14077","Teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores prismatic, often rounded at theapex, 25-60 µm","Melampsora ricini_176617_13996","Teliospores","25-60",42.5,NA,NA
"Teliospores in catenulate chains, ovoid, 20-30 long, 12-15 µm","Physopella ampelopsidis_151429_13998","Teliospores","12-15",13.5,NA,NA
"Teliospores clavate or oblong to clavate, chestnut-brown to hyaline, 16-26 x 47-68 µm;","Puccinia caricis_119010_62887","Teliospores","16-26 x 47-68",21,57.5,NA
"Teliospores ellipsoid to oblong-ellipsoid, light brown, 1-2 celled, mostly 2-celled spores (19-)21-28 x 42-49(-57) µm;","Puccinia arthraxonis-ciliaris_269188_63758","Teliospores","(19-)21-28 x 42-49(-57)",21,49,NA
"Teliospores ellipsoid, hyaline to light brown, 2-celled, 3-celled rarely, 10-20 x (35-)44-60 µm,","Puccinia pseudocesatii_177710_63759","Teliospores","10-20 x (35-)44-60",15,44,NA
"Teliospores ellipsoid or oblong, 35-50 x 19-22 µm,","Puccinia tendae_269342_56732","Teliospores","35-50 x 19-22",42.5,20.5,NA
"teliospores (6)-8-celled, regularly globose to subglobose, not constricted at the septa, cells mostly arranged in two layers each with four cells, 30-34.3-38 µm","Sphaerophragmium monodorae_269842_41895","teliospores","30-34.3-38",34.3,NA,NA
"Teliospores usually terminally or intercalarily on lateral branches, (sub)globose, 9.0-16.0 x 9.0-15.0 µm,","Sporidiobolus johnsonii_26051_18632","Teliospores","9.0-16.0 x 9.0-15.0",12.5,12,NA
"Teliospores 32-44.5 x 24.5-33.5 µm","Uromyces corallocarpi_178406_59771","Teliospores","32-44.5 x 24.5-33.5",38.25,29,NA
"Teliospores germinating on maturity, 46-71.5 x 17-23 µm","Uromyces ratoides_270284_59781","Teliospores","46-71.5 x 17-23",58.75,20,NA
"Teliospores 33-45(48) x 25.5-31 µm","Uromyces yakushimensis_270296_59785","Teliospores","33-45(48) x 25.5-31",45,28.25,NA
"teliospores two-celled, diorchidioid, slightly constricted at the septa, 21-23.5-26 µm","Uropyxis gerstneri_270297_33339","teliospores","21-23.5-26",23.5,NA,NA
"Teliospores ellipsoid, 20-23 x 25-29 µm,","Nigredo caryophyllina_443433_14005","Teliospores","20-23 x 25-29",21.5,27,NA
"teliospores with pedicels up to 80 µm","Nigredo caryophyllina_443433_14005","teliospores","80",80,NA,NA
"teliospores (21-25 x 16-19 µm).","Nigredo caryophyllina_443433_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Gymnoconia nitens_145555_14026","Teliospores","32-50 x 22-30",41,26,NA
"teliospores similar to uredinia and urediniospores, hyaline to white, teliospores globoid, obovoid, or ellipsoid, sometimes mixed with urediniospores, 18-21-15-18 µm,","Hemileia colombiana_272746_46827","teliospores","18-21-15-18",18,NA,NA
"teliospores globoid, obovoid, or ellipsoid, sometimes mixed with urediniospores, 18-21-15-18 µm,","Hemileia colombiana_272746_46827","teliospores","18-21-15-18",18,NA,NA
"Teliospores in crusts, often laterally adherent, 4-6 spores in depth, variable, mostly clavate to oblong, yellowish-brown, smooth-walled, 1-celled, with somewhat thick apex, 18-30 x 6-12 µm.","Physopella pachyrhizi_218956_14921","Teliospores","18-30 x 6-12",24,9,NA
"Teliospores ellipsoid or oblong, pale brown to chestnut brown, constricted at septum, attenuate or rounded at base, 19-27 x 39-59(-63) µm","Puccinia caricis-kouriyamensis_275083_54263","Teliospores","19-27 x 39-59(-63)",23,59,NA
"Teliospores clavate, obovate-clavate or oblong-clavate, yellowish brown to dark brown, constricted at septum, attenuated below, (15-)18-24(-28) x (32-)37-60(-74) µm","Puccinia caricis-pocilliformis_275086_54264","Teliospores","(15-)18-24(-28) x (32-)37-60(-74)",21,48.5,NA
"Teliospores intercalarily or terminally on hyphae, (sub)globose, usually echinulate, 6.0-12.5 x 6.0-12.5 µm,","Tilletiaria anomala_27289_18658","Teliospores","6.0-12.5 x 6.0-12.5",9.25,9.25,NA
"teliospores originating after fusion of two outgrowths of adjacent hyphal cells (horse-shoe connection), when young thin-walled, hyaline, echinulate, finally becoming thick-walled and brown, germinating with (1-)4-celled metabasidia or hyphae; basidiospores are ballistospores, allantoid, ellipsoidal or amygdaliform, 6.0-7.0 x 1.5-2.0 µm","Tilletiaria anomala_27289_18658","teliospores","6.0-7.0 x 1.5-2.0",6.5,1.75,NA
"teliospores clavate, 50-65 x 15-17 µm,","Gerwasia imperialis_237772_17598","teliospores","50-65 x 15-17",57.5,16,NA
"Teliospores blunt ellipsoid, slightly or not constricted at septum, 32-58 X 14-26 µm,","Gymnosporangium connersii_183484_13003","Teliospores","32-58 x 14-26",45,20,NA
"teliospores forming under the epidermis, mostly loosely aggregated, often compacted laterally under the epidermis, subglobose or ellipsoid, 16.5~35.0 µm","Pucciniastrum hakkodaense_438980_44188","teliospores","16.5~35.0",NA,NA,NA
"Teliospores ellipsoid to oblong, rounded at both ends, chestnut brown, slightly or not constricted at septa, 20-22 x 27-34 µm;","Puccinia oniwaensis_280047_60462","Teliospores","20-22 x 27-34",21,30.5,NA
"teliospores and interspersed among the latter. Urediniospores 28-33 x 25-29 µm","Uromyces bosseri_281024_59770","teliospores","28-33 x 25-29",30.5,27,NA
"Teliospores 36-44 x 28-37 µm","Uromyces bosseri_281024_59770","Teliospores","36-44 x 28-37",40,32.5,NA
"Teliospores 1-celled, brown, ovate, 19-21.5 x 21.5-27 µm;","Uromyces sporobolicola_185795_54864","Teliospores","19-21.5 x 21.5-27",20.25,24.25,NA
"Teliospores in general bicellular, ellipsoid, cylindrical, subclavate or irregular in outline, rounded, subacute or slightly flattened at the apex, +- rounded, occasionally attenuate at the base, not or slightly constricted at the septum, chestnut-brown, often apically brightened, (35) 40-55 (58) x 26-35 µm,","Puccinia aridariae_439147_51487","Teliospores","(35) 40-55 (58) x 26-35",47.5,30.5,NA
"Teliospores bicellular, ellipsoid, cylindrical, subclavate or irregular in outline, rounded, subacute or flattened at the apex, rounded, attenuate or flattened at the base, not or slightly constricted at the septum, 60-80 x (34) 40-50 µm,","Puccinia otzeniani_439150_51493","Teliospores","60-80 x (34) 40-50",70,40,NA
"Teliospores in general bicellular, variable in shape, ovoid, ellipsoid or oblong, occasionally subclavate, rarely diorchidioid, rounded or subacute at the apex, rounded or attenuate at the base, slightly constricted at the septum, 36-60 x 17-31 (34) µm,","Puccinia knersvlaktensis_439151_51490","Teliospores","36-60 x 17-31 (34)",48,31,NA
"Teliospores bicellular, ovoid to ellipsoid, not constricted at the septum, rounded or slightly apiculate at the apex, rounded or attenuate at the base, occasionally diorchidioid, mahogany-coloured to deep mahogany-coloured, (38) 43-58 x (23) 25-37 µm,","Puccinia ovamboensis_439152_51473","Teliospores","(38) 43-58 x (23) 25-37",43,25,NA
"Teliospores jointed together in catenulate or irregular arranged crusts, which consist of circa 17 to 23 lateral spores and of circa 12 to 25 vertical spores. Crusts circa 140-220 µm","Uredopeltis flavae_439153_51476","Teliospores","140-220",180,NA,NA
"Teliospores unicellular, tending to be dimorphic depending on maturity, younger spores flattened globoid, chestnut-brown, 21-29 x 27-33 µm,","Uromyces otaviensis_439155_51467","Teliospores","21-29 x 27-33",25,30,NA
"Teliospores in general bicellular, subgloboid, ovoid to ellipsoid, rounded, flattened, or apiculate through an apicule at the apex, rounded or slightly attenuate at the base, not or very slightly constricted at the septum, chestnut-brown, 35-48 x 26-36 µm,","Puccinia windhoekensis_439158_51470","Teliospores","35-48 x 26-36",41.5,31,NA
"Teliospores in general bicellular, cylindrical, clavate, or +- fusiforme, obtuse or subacuminate at the apex, attenuate at the base, slightly constricted at the septum, (38) 43-61 (67) x 13-20 (23) µm,","Puccinia namibiana_439159_51464","Teliospores","(38) 43-61 (67) x 13-20 (23)",52,20,NA
"Teliospores powdery in mass, dark brown to black, developing beneath the epidermis which is separated from subepidermal tissue , paraphyses absent. Teliospore development is initiated by terminal cells of septate hyphae emerging from a layer of densely packed hyphae  as described by HIREMATH & PAVGI (1974) for Sphaerophragmium acaciae. Teliospores (Figs. 4, 8-18) globose, ca. (25) 33-40 (42) x (35) 38-46 µm,","Sphaerophragmium pulchrum_439190_51484","Teliospores",". (25) 33-40 (42) x (35) 38-46",36.5,38,NA
"Teliospores (Figs. 4, 8-18) globose, ca. (25) 33-40 (42) x (35) 38-46 µm,","Sphaerophragmium pulchrum_439190_51484","Teliospores",". (25) 33-40 (42) x (35) 38-46",36.5,38,NA
"Teliospores with ca. 14-25 spines on the free surface of each probasidial cell, surface between the spines smooth, as seen by SEM . Spines forming a right angle to the surface of the spore or inclined, mostly simple, often with a broadened base, very rarely bifurcate at the tips, ca. 3-5 µm","Sphaerophragmium pulchrum_439190_51484","Teliospores",". 3-5",4,NA,NA
"teliospores in scratched microscope preparations, central, sometimes attached to a light-colored, thin-walled cell or mucilaginous material, ca. 4-8 µm","Sphaerophragmium pulchrum_439190_51484","teliospores",". 4-8",6,NA,NA
"Teliospores oblong, clavate or cylindrical, apex rounded, +- truncate or tapered, 38-85 x 10-23(-25) µm;","Puccinia ustilas var. pulsatillae_395306_13568","Teliospores","38-85 x 10-23(-25)",61.5,23,NA
"Teliospores (4-)6-11(-12)((-13))-celled, (55-)62-106(-112)((-125)) x (23.5-)25-33(-35) µm,","Phragmidium fusiforme var. noviboreale_283813_13146","Teliospores","(55-)62-106(-112)((-125)) x (23.5-)25-33(-35)",106,29,NA
"Teliospores 1-2-celled, 1-celled spores less common; 11-20 x 30-58 µm;","Puccinia persistens subsp. agropyrina_234671_52405","Teliospores","; 11-20 x 30-58",15.5,44,NA
"Teliospores normally 2-celled, (29-)32-60(-62) x (10-)11-20(-22) µm,","Puccinia persistens var. triticina_226653_13698","Teliospores","(29-)32-60(-62) x (10-)11-20(-22)",46,15.5,NA
"Teliospores (24.5-)25.5-42(-47)((-51)) x (15-)16-28(-30) µm,","Puccinia violae subsp. americana_283855_13254","Teliospores","(24.5-)25.5-42(-47)((-51)) x (15-)16-28(-30)",42,22,NA
"Teliospores oblong to clavate, 13-24 x 40-59(-65) µm","Puccinia brachypodii var. poae-nemoralis_123952_35855","Teliospores","13-24 x 40-59(-65)",18.5,59,NA
"Teliospores 1-2 celled (few one-celled spores also observed), oblong to clavate, 13-24 x 40-59(-65) µm","Puccinia brachypodii var. poae-nemoralis_123952_57578","Teliospores","13-24 x 40-59(-65)",18.5,59,NA
"Teliospores normally 2-celled, (29-)32-60(-62) x (10-)11-20(-22) µm,","Puccinia perplexans var. triticina_226654_13698","Teliospores","(29-)32-60(-62) x (10-)11-20(-22)",46,15.5,NA
"Teliospores 1-2 celled, clavate or ellipsoid; wall 1.5-2 µm","Puccinia pygmaea var. angusta_284242_49762","Teliospores","1.5-2",1.75,NA,NA
"Teliospores ellipsoidal, cylindrical or clavate, constricted at the septum, obtuse or truncate above, 40-80 x 22-27 µm;","Puccinia substriata var. penicillariae_215140_13773","Teliospores","40-80 x 22-27",60,24.5,NA
"Teliospores rare, typically 2-celled and occurring in the uredinium, ellipsoid, not constricted at septum, 40-50 x 22-35 µm;","Gymnosporangium gaeumannii subsp. albertense_397265_13341","Teliospores","40-50 x 22-35",45,28.5,NA
"Teliospores 1-2 celled, oblong to clavate, golden brown to chestnut brown but paler basally, smooth; 20-26 x (27-)39-43(-55) µm","Puccinia brachypodii var. major_187702_57576","Teliospores","; 20-26 x (27-)39-43(-55)",23,41,NA
"Teliospores 1-2-celled, oblong to clavate, 17-24(-29) x (29-)34-52(-60) µm,","Puccinia substriata var. indica_285033_57577","Teliospores","17-24(-29) x (29-)34-52(-60)",24,43,NA
"teliospores 25-35 x 19-26 µm,","Uromycopsis cestri_445467_17610","teliospores","25-35 x 19-26",30,22.5,NA
"teliospores (40-) 43-53 (-57) x (23-) 25-30 (-32) µm,","Dicaeoma appendiculata_445468_17600","teliospores","(40-) 43-53 (-57) x (23-) 25-30 (-32)",48,27.5,NA
"teliospores develop; urediniospores hyaline to pale yellow (colourless in dried herbarium specimen), usually subglobose to occasionally ovoid, basally stalked, often smooth around the hilum, length (17) 18-19-20 (24) µm,","Desmosorus oncidii_441202_51536","teliospores","(17) 18-19-20 (24)",19,NA,NA
"teliospores hyaline, formed within the same sori as the urediniospores, oblong elliptical to cylindrical with a rounded apex, occasionally slightly curved or constricted in the central part, length 25-28-34 (42) µm,","Desmosorus oncidii_441202_51536","teliospores","25-28-34 (42)",31,NA,NA
"Teliospores (15.5) 17-24 (27) x (9) 11-13.5 µm","Phakopsora allophyli_443567_51539","Teliospores","(15.5) 17-24 (27) x (9) 11-13.5",20.5,11,NA
"Teliospores germinating on maturity, 18-24 x 15.5-19.5 µm","Uromyces neotropicalis_443572_59787","Teliospores","18-24 x 15.5-19.5",21,17.5,NA
"Teliospores ellipsoid or oblong, cinnamon brown to dark brown, 16-26 x 39-64 µm","Puccinia extensicola var. linosyridi-caricis_215148_54266","Teliospores","16-26 x 39-64",21,51.5,NA
"Teliospores fusiform or ellipsoidal, slightly constricted at the septum, (51) 56-90 x 14-20 µm","Puccinia tianguensis_426281_51360","Teliospores","(51) 56-90 x 14-20",56,17,NA
